TITLE,S2L
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/19
TIME,15:41:03
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  370.0000
LASTX,  800.0000
NPOINTS,     861
FIRSTY,   502.63272
MAXY,   502.63272
MINY,     1.45963
XYDATA
513.0000,97.8903
513.5000,97.393
514.0000,96.849
514.5000,96.2134
515.0000,95.7568
515.5000,95.3777
516.0000,95.086
516.5000,94.6212
517.0000,94.2147
517.5000,93.8206
518.0000,93.3835
518.5000,93.1504
519.0000,92.9393
519.5000,92.7194
520.0000,92.6033
520.5000,92.4923
521.0000,92.2846
521.5000,92.1111
522.0000,92.2098
522.5000,92.2473
523.0000,92.249
523.5000,92.2021
524.0000,92.1869
524.5000,92.4334
525.0000,92.5364
525.5000,92.4125
526.0000,92.4164
526.5000,92.2814
527.0000,92.1925
527.5000,92.2557
528.0000,92.1611
528.5000,92.184
529.0000,92.1832
529.5000,92.1397
530.0000,92.078
530.5000,91.9217
531.0000,91.838
531.5000,91.7351
532.0000,91.726
532.5000,91.5748
533.0000,91.2269
533.5000,90.8984
534.0000,90.5176
534.5000,90.0996
535.0000,89.7698
535.5000,89.3537
536.0000,88.8736
536.5000,88.3186
537.0000,87.9088
537.5000,87.4605
538.0000,87.0742
538.5000,86.4702
539.0000,85.849
539.5000,85.3134
540.0000,84.753
540.5000,54.0044
541.0000,52.3118
541.5000,52.0129
542.0000,51.6993
542.5000,51.3836
543.0000,51.0346
543.5000,50.6396
544.0000,50.3371
544.5000,49.9321
545.0000,49.5304
545.5000,49.0751
546.0000,48.5435
546.5000,48.0953
547.0000,47.7082
547.5000,47.2451
548.0000,46.9652
548.5000,46.6302
549.0000,46.1937
549.5000,45.8784
550.0000,45.5493
550.5000,45.0935
551.0000,44.7605
551.5000,44.2453
552.0000,43.796
552.5000,43.3956
553.0000,42.9932
553.5000,42.6217
554.0000,42.3308
554.5000,41.863
555.0000,41.5013
555.5000,41.1766
556.0000,40.7498
556.5000,40.4538
557.0000,40.2569
557.5000,39.7356
558.0000,39.3077
558.5000,38.9886
559.0000,38.5796
559.5000,38.2553
