TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/18
TIME,18:34:30
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.01131
MAXY,     0.14655
MINY,     0.00656
XYDATA
900.0000,0.011309
899.8000,0.00883912
899.6000,0.0128367
899.4000,0.0138216
899.2000,0.0123614
899.0000,0.0128154
898.8000,0.0104135
898.6000,0.00759367
898.4000,0.00686236
898.2000,0.0105832
898.0000,0.0127064
897.8000,0.011129
897.6000,0.0123749
897.4000,0.0138367
897.2000,0.0146178
897.0000,0.0150015
896.8000,0.0128877
896.6000,0.0117221
896.4000,0.0104911
896.2000,0.00722326
896.0000,0.00933445
895.8000,0.0132262
895.6000,0.0105964
895.4000,0.00930382
895.2000,0.0106352
895.0000,0.0111389
894.8000,0.00979196
894.6000,0.00904678
894.4000,0.00912055
894.2000,0.0111639
894.0000,0.0136031
893.8000,0.0143678
893.6000,0.0148257
893.4000,0.0142256
893.2000,0.0137199
893.0000,0.0101545
892.8000,0.00655869
892.6000,0.0097499
892.4000,0.0143981
892.2000,0.0126079
892.0000,0.0132566
891.8000,0.0144464
891.6000,0.0119288
891.4000,0.01114
891.2000,0.00806075
891.0000,0.00666338
890.8000,0.00821315
890.6000,0.00955449
890.4000,0.00997131
890.2000,0.0093379
890.0000,0.0113471
889.8000,0.0126709
889.6000,0.0133962
889.4000,0.0118776
889.2000,0.0100256
889.0000,0.0108564
888.8000,0.0121014
888.6000,0.0120735
888.4000,0.0105726
888.2000,0.00918758
888.0000,0.010653
887.8000,0.0104915
887.6000,0.00943766
887.4000,0.0104925
887.2000,0.0108359
887.0000,0.0125325
886.8000,0.0126417
886.6000,0.011561
886.4000,0.00989201
886.2000,0.0103502
886.0000,0.00995536
885.8000,0.0100938
885.6000,0.0128662
885.4000,0.0119541
885.2000,0.0100617
885.0000,0.0101906
884.8000,0.0104202
884.6000,0.0111612
884.4000,0.011449
884.2000,0.0097897
884.0000,0.0103252
883.8000,0.0123966
883.6000,0.0128265
883.4000,0.0143464
883.2000,0.0126951
883.0000,0.0107808
882.8000,0.0110279
882.6000,0.0105224
882.4000,0.0101158
882.2000,0.01119
882.0000,0.0128765
881.8000,0.0113878
881.6000,0.011345
881.4000,0.012193
881.2000,0.0112376
881.0000,0.0110338
880.8000,0.0118745
880.6000,0.0107544
880.4000,0.00897487
880.2000,0.0106128
880.0000,0.0130464
879.8000,0.0109159
879.6000,0.00939162
879.4000,0.0106113
879.2000,0.0124173
879.0000,0.0124749
878.8000,0.0104539
878.6000,0.0109074
878.4000,0.0101449
878.2000,0.00967227
878.0000,0.0111748
