TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/18
TIME,18:41:10
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.01561
MAXY,     0.13451
MINY,     0.00955
XYDATA
900.0000,0.0156081
899.8000,0.0122721
899.6000,0.0118648
899.4000,0.0147304
899.2000,0.0164959
899.0000,0.0151998
898.8000,0.0148892
898.6000,0.0142206
898.4000,0.0133549
898.2000,0.0169743
898.0000,0.0186178
897.8000,0.0176836
897.6000,0.0186396
897.4000,0.0178172
897.2000,0.0151986
897.0000,0.0144269
896.8000,0.0140455
896.6000,0.0165424
896.4000,0.0140335
896.2000,0.0126188
896.0000,0.0158266
895.8000,0.0158516
895.6000,0.011673
895.4000,0.00955419
895.2000,0.0129506
895.0000,0.0142193
894.8000,0.0143179
894.6000,0.0136629
894.4000,0.0128779
894.2000,0.0147055
894.0000,0.0143431
893.8000,0.0151862
893.6000,0.0157109
893.4000,0.0158082
893.2000,0.0161235
893.0000,0.0134457
892.8000,0.0121258
892.6000,0.0118145
892.4000,0.0135228
892.2000,0.0147185
892.0000,0.0166046
891.8000,0.0157165
891.6000,0.0141864
891.4000,0.016254
891.2000,0.0143957
891.0000,0.0120761
890.8000,0.013447
890.6000,0.0139355
890.4000,0.0131835
890.2000,0.0123902
890.0000,0.0129395
889.8000,0.0138058
889.6000,0.0148172
889.4000,0.0157559
889.2000,0.0141458
889.0000,0.0148482
888.8000,0.0152553
888.6000,0.0130976
888.4000,0.0119439
888.2000,0.0134987
888.0000,0.0159881
887.8000,0.0153998
887.6000,0.0139113
887.4000,0.0155754
887.2000,0.0170052
887.0000,0.015422
886.8000,0.0153919
886.6000,0.0147586
886.4000,0.0149296
886.2000,0.0137275
886.0000,0.0113938
885.8000,0.0131573
885.6000,0.0141202
885.4000,0.0142908
885.2000,0.0151119
885.0000,0.0154707
884.8000,0.0143753
884.6000,0.0146127
884.4000,0.0149912
884.2000,0.0143429
884.0000,0.0134438
883.8000,0.0156011
883.6000,0.016191
883.4000,0.0156305
883.2000,0.0160914
883.0000,0.0154305
882.8000,0.0158065
882.6000,0.0146916
882.4000,0.0143603
882.2000,0.0152964
882.0000,0.0156818
881.8000,0.0160018
881.6000,0.0154349
881.4000,0.015165
881.2000,0.0159185
881.0000,0.014618
880.8000,0.0148784
880.6000,0.0153128
880.4000,0.0147207
880.2000,0.0139686
880.0000,0.0149996
879.8000,0.0152489
879.6000,0.0146153
879.4000,0.0161403
879.2000,0.016767
879.0000,0.0164801
878.8000,0.0148068
878.6000,0.014367
878.4000,0.0139597
878.2000,0.0141566
878.0000,0.0152374
